project_name,community,year,GF,RF,GT,GF_plus_RF_minus_GT,abs_diff,old_rule_pass,income_field_missing,formula
PANTHEON ELYSEE,Jumeirah Village Circle,2025,13.07,1.53,14.6,0.0,0.0,True,True,GT = GF + RF - income (income not in CSV)
PARAMOUNT TOWER HOTEL & RESIDENCES,Business Bay,2026,21.18,1.55,22.5,0.23000000000000043,0.23000000000000043,False,True,GT = GF + RF - income (income not in CSV)
PARK HEIGHTS II,Dubai Hills Estate,2026,18.66,2.12,20.62,0.16000000000000014,0.16000000000000014,False,True,GT = GF + RF - income (income not in CSV)
PARK ISLANDS,Dubai Marina,2026,12.47,1.37,13.57,0.2699999999999996,0.2699999999999996,False,True,GT = GF + RF - income (income not in CSV)
PARK RIDGE,Dubai Hills Estate,2026,15.14,0.93,15.91,0.16000000000000014,0.16000000000000014,False,True,GT = GF + RF - income (income not in CSV)
PEARL JUMEIRAH,Pearl Jumeira,2026,3.58,0.49,4.07,0.0,0.0,True,True,GT = GF + RF - income (income not in CSV)
PHOENIX TOWER,Dubai Land,2026,9.66,1.05,10.71,0.0,0.0,True,True,GT = GF + RF - income (income not in CSV)
PLATINUM RESIDENCE 2,Silicon Oasis,2026,12.87,2.0,14.73,0.1399999999999988,0.1399999999999988,False,True,GT = GF + RF - income (income not in CSV)
POLO HOMES,Arabian Ranches - 1,2026,1.54,0.03,1.56,0.010000000000000009,0.010000000000000009,False,True,GT = GF + RF - income (income not in CSV)
PRIME RESIDENCY1,International City,2018,11.45,0.0,11.45,0.0,0.0,True,True,GT = GF + RF - income (income not in CSV)
PRIME RESIDENCY2,International City,2026,12.0,0.53,12.44,0.08999999999999986,0.08999999999999986,False,True,GT = GF + RF - income (income not in CSV)
PRIME VILLAS,Dubai Sports City,2026,6.3,0.35,6.63,0.019999999999999574,0.019999999999999574,False,True,GT = GF + RF - income (income not in CSV)
PRIMROSE @ AKOYA OXYGEN,Dubai Land,2026,4.82,0.36,5.13,0.05000000000000071,0.05000000000000071,False,True,GT = GF + RF - income (income not in CSV)
Prime Views,Meydan,2026,14.09,1.45,15.54,0.0,0.0,True,True,GT = GF + RF - income (income not in CSV)
QPOINT LIWAN-PLOT R005,Dubai Land,2026,4.61,0.79,5.4,0.0,0.0,True,True,GT = GF + RF - income (income not in CSV)
QPOINT LIWAN-PLOT R069,Liwan,2018,10.39,0.0,10.39,0.0,0.0,True,True,GT = GF + RF - income (income not in CSV)
QPOINT LIWAN-PLOT R070,Liwan,2018,10.69,0.0,10.69,0.0,0.0,True,True,GT = GF + RF - income (income not in CSV)
RED RESIDENCE,Dubai Sports City,2026,14.66,1.76,16.35,0.07000000000000028,0.07000000000000028,False,True,GT = GF + RF - income (income not in CSV)
REVA RESIDENCES,Business Bay,2026,25.54,2.01,27.28,0.269999999999996,0.269999999999996,False,True,GT = GF + RF - income (income not in CSV)
RITAJ,Dubai Investment Park,2026,13.51,0.93,14.19,0.25,0.25,False,True,GT = GF + RF - income (income not in CSV)
ROYAL AMWAJ,Palm Jumeirah,2025,25.37,2.3,27.67,0.0,0.0,True,True,GT = GF + RF - income (income not in CSV)
ROYALE RESIDENCE1,Dubai Sports City,2026,15.49,0.6,16.09,0.0,0.0,True,True,GT = GF + RF - income (income not in CSV)
ROYALE RESIDENCE2,Dubai Sports City,2025,14.81,0.58,15.39,0.0,0.0,True,True,GT = GF + RF - income (income not in CSV)
RP HEIGHTS,Burj Khalifa District,2026,16.94,0.52,16.4,1.0600000000000023,1.0600000000000023,False,True,GT = GF + RF - income (income not in CSV)
RUBY RESIDENCE,Dubai Silicon Oasis,2026,13.39,1.58,14.67,0.3000000000000007,0.3000000000000007,False,True,GT = GF + RF - income (income not in CSV)
SAHARA MEADOWS2 ,Dubai Industrial City,2026,7.16,0.32,7.48,0.0,0.0,True,True,GT = GF + RF - income (income not in CSV)
SANCTNARY @ AKOYA OXYGEN,Dubai Land,2026,4.42,0.34,4.71,0.04999999999999982,0.04999999999999982,False,True,GT = GF + RF - income (income not in CSV)
SAPPHIRE RESIDENCE,Dubai Silicon Oasis,2026,16.97,1.9,17.82,1.0499999999999972,1.0499999999999972,False,True,GT = GF + RF - income (income not in CSV)
SEVANAM CROWN,Silicon Oasis,2026,14.89,4.72,19.4,0.21000000000000085,0.21000000000000085,False,True,GT = GF + RF - income (income not in CSV)
SIDRA,Dubai Hills Estate,2026,3.1,0.22,3.28,0.04000000000000048,0.04000000000000048,False,True,GT = GF + RF - income (income not in CSV)
SILICON GATE 1,Silicon Oasis,2026,11.38,1.81,12.77,0.4200000000000017,0.4200000000000017,False,True,GT = GF + RF - income (income not in CSV)
SILICON GATE 3,Silicon Oasis,2026,10.62,1.63,12.21,0.03999999999999915,0.03999999999999915,False,True,GT = GF + RF - income (income not in CSV)
SILICON GATE2,Silicon Oasis,2026,13.47,1.59,14.96,0.09999999999999964,0.09999999999999964,False,True,GT = GF + RF - income (income not in CSV)
SILICON GATES 4,Silicon Oasis,2026,11.28,2.12,13.16,0.23999999999999844,0.23999999999999844,False,True,GT = GF + RF - income (income not in CSV)
SKY COURTS,Dubai Land,2026,12.15,0.42,12.25,0.3200000000000003,0.3200000000000003,False,True,GT = GF + RF - income (income not in CSV)
SOBHA HARTLAND GREENS PHASE II,Meydan,2026,11.05,0.91,11.85,0.11000000000000121,0.11000000000000121,False,True,GT = GF + RF - income (income not in CSV)
SOBHA IVORY,Business Bay,2018,16.77,0.0,16.77,0.0,0.0,True,True,GT = GF + RF - income (income not in CSV)
SOLITAIRE CASCADES,Dubai Land,2026,13.65,1.08,13.82,0.9100000000000001,0.9100000000000001,False,True,GT = GF + RF - income (income not in CSV)
Sobha Hartland Waves,Meydan,2026,15.89,1.09,16.98,0.0,0.0,True,True,GT = GF + RF - income (income not in CSV)
Sunbeam Homes,Dubai Industrial City,2026,15.5,0.66,16.16,0.0,0.0,True,True,GT = GF + RF - income (income not in CSV)
TENNIS TOWER,Dubai Sports City,2026,14.71,1.23,15.94,1.7763568394002505e-15,1.7763568394002505e-15,True,True,GT = GF + RF - income (income not in CSV)
TENORA,Barsha Heights,2026,15.05,2.92,17.97,0.0,0.0,True,True,GT = GF + RF - income (income not in CSV)
THE 118,Burj Khalifa District,2026,35.0,2.86,37.86,0.0,0.0,True,True,GT = GF + RF - income (income not in CSV)
THE ADDRESS RESIDENCE FOUNTAIN VIEWS II,Burj Khalifa District,2026,38.15,1.79,39.94,0.0,0.0,True,True,GT = GF + RF - income (income not in CSV)
THE ADDRESS RESIDENCE FOUNTAIN VIEWS III,Burj Khalifa District,2026,46.19,2.28,48.47,0.0,0.0,True,True,GT = GF + RF - income (income not in CSV)
THE BRIDGE,Dubai Sports City,2026,17.23,1.37,18.6,0.0,0.0,True,True,GT = GF + RF - income (income not in CSV)
THE CRESCENT,Dubai Production City,2026,15.18,0.49,15.39,0.27999999999999936,0.27999999999999936,False,True,GT = GF + RF - income (income not in CSV)
THE DIAMOND,Dubai Sports City,2026,24.33,4.16,28.29,0.1999999999999993,0.1999999999999993,False,True,GT = GF + RF - income (income not in CSV)
THE DISTINCTION,Burj Khalifa District,2026,24.29,0.72,23.82,1.1899999999999977,1.1899999999999977,False,True,GT = GF + RF - income (income not in CSV)
THE DUBAI CREEK RESIDENCES,Dubai Creek Harbour,2026,16.15,0.57,16.5,0.21999999999999886,0.21999999999999886,False,True,GT = GF + RF - income (income not in CSV)
THE MATRIX,Dubai Sports City,2026,13.89,1.52,15.41,0.0,0.0,True,True,GT = GF + RF - income (income not in CSV)
THE MEDALIST,Dubai Sports City,2025,16.13,1.17,17.19,0.10999999999999588,0.10999999999999588,False,True,GT = GF + RF - income (income not in CSV)
THE ONE TOWER,Barsha Heights,2026,10.95,1.76,12.71,-1.7763568394002505e-15,1.7763568394002505e-15,True,True,GT = GF + RF - income (income not in CSV)
THE OPUS BY OMNIYAT,Business Bay,2025,38.04,0.81,38.85,0.0,0.0,True,True,GT = GF + RF - income (income not in CSV)
THE POINT,Dubai Marina,2026,15.65,1.12,16.77,0.0,0.0,True,True,GT = GF + RF - income (income not in CSV)
THE POLO TOWN HOUSES,Meydan,2026,5.19,0.1,5.29,0.0,0.0,True,True,GT = GF + RF - income (income not in CSV)
THE RESIDENCES AT MARINA GATE 1,Dubai Marina,2026,14.8,1.35,16.08,0.07000000000000384,0.07000000000000384,False,True,GT = GF + RF - income (income not in CSV)
THE SIGNATURE,Burj Khalifa District,2026,34.0,0.62,33.97,0.6499999999999986,0.6499999999999986,False,True,GT = GF + RF - income (income not in CSV)
THE SPIRIT,Dubai Sports City,2024,16.86,1.17,17.39,0.6400000000000006,0.6400000000000006,False,True,GT = GF + RF - income (income not in CSV)
THREE TOWERS,Dubai Science Park,2025,26.46,1.95,28.41,0.0,0.0,True,True,GT = GF + RF - income (income not in CSV)
TIARA RESIDENCE,Palm Jumeirah,2019,0.0,0.0,0.0,0.0,0.0,True,True,GT = GF + RF - income (income not in CSV)
TOPAZ RESIDENCES 1,Silicon Oasis,2026,14.63,2.0,16.63,3.552713678800501e-15,3.552713678800501e-15,True,True,GT = GF + RF - income (income not in CSV)
TOPAZ RESIDENCES 3,Silicon Oasis,2026,12.43,2.0,14.22,0.20999999999999908,0.20999999999999908,False,True,GT = GF + RF - income (income not in CSV)
TRIDENT GRAND,Dubai Marina,2018,14.61,1.92,16.53,0.0,0.0,True,True,GT = GF + RF - income (income not in CSV)
TWO TOWERS,Barsha Heights,2025,11.58,1.07,12.65,0.0,0.0,True,True,GT = GF + RF - income (income not in CSV)
The Galleries,Silicon Oasis,2026,15.22,1.14,16.36,0.0,0.0,True,True,GT = GF + RF - income (income not in CSV)
U-BORA TOWERS,Business Bay,2019,13.75,0.83,14.58,0.0,0.0,True,True,GT = GF + RF - income (income not in CSV)
UNIESTATE MILLENNIUM TOWER,Silicon Oasis,2026,13.91,0.74,14.45,0.20000000000000107,0.20000000000000107,False,True,GT = GF + RF - income (income not in CSV)
UNIESTATE SPORTS TOWER,Dubai Sports City,2026,14.87,2.27,16.78,0.35999999999999943,0.35999999999999943,False,True,GT = GF + RF - income (income not in CSV)
UPPER CREST,Burj Khalifa District,2026,22.58,0.6,23.01,0.16999999999999815,0.16999999999999815,False,True,GT = GF + RF - income (income not in CSV)
V2,Dubai Sports City,2026,17.59,0.48,18.07,0.0,0.0,True,True,GT = GF + RF - income (income not in CSV)
VERA TOWER ,Business Bay,2026,23.74,1.9,25.36,0.2799999999999976,0.2799999999999976,False,True,GT = GF + RF - income (income not in CSV)
VICEROY HOTEL RESORTS RESIDENCES,Palm Jumeirah,2018,22.17,0.0,22.17,0.0,0.0,True,True,GT = GF + RF - income (income not in CSV)
VICTORIA RESIDENCY,Al Furjan,2026,11.36,1.41,12.77,0.0,0.0,True,True,GT = GF + RF - income (income not in CSV)
VICTORY HEIGHTS,Dubai Sports City,2026,4.45,0.13,4.41,0.16999999999999993,0.16999999999999993,False,True,GT = GF + RF - income (income not in CSV)
VOLANTE,Business Bay,2026,18.89,1.26,20.15,3.552713678800501e-15,3.552713678800501e-15,True,True,GT = GF + RF - income (income not in CSV)
Vida Dubai Mall,Burj Khalifa District,2026,28.43,1.55,29.98,0.0,0.0,True,True,GT = GF + RF - income (income not in CSV)
WADI TOWER,Dubai Land,2026,11.02,1.41,12.43,0.0,0.0,True,True,GT = GF + RF - income (income not in CSV)
WESTERN RESIDENCE - SOUTH,Falconcity of Wonders,2026,3.87,0.3,4.17,0.0,0.0,True,True,GT = GF + RF - income (income not in CSV)
ZENITH TOWER A1,Dubai Sports City,2026,8.44,1.43,9.87,0.0,0.0,True,True,GT = GF + RF - income (income not in CSV)
ZENITH TOWER A2,Dubai Sports City,2026,13.74,2.09,15.83,0.0,0.0,True,True,GT = GF + RF - income (income not in CSV)
